"start","obj","grad","model"
"start04",1434.99087618833,2.65775354870605e-06,"D2_nodiscardlen"
"start14",1434.99087618833,0.000861292951532284,"D2_nodiscardlen"
"start05",1437.87522409485,3.01698775854602e-06,"D2_nodiscardlen"
"start11",1437.87522409485,9.48235807087506e-06,"D2_nodiscardlen"
"start16",1437.87522409485,5.34217963728041e-05,"D2_nodiscardlen"
"start06",1450.26188470003,8.28401330619301e-06,"D2_nodiscardlen"
"start07",1450.76285563681,2.54984771127448e-05,"D2_nodiscardlen"
"start10",1450.76285563681,1.6745565794688e-07,"D2_nodiscardlen"
"start20",1451.83630707808,3.41814253169201e-05,"D2_nodiscardlen"
"start13",1475.20561699433,8.45889368672204e-05,"D2_nodiscardlen"
"start03",1580.52560127819,2.36791080126859e-05,"D2_nodiscardlen"
"start18",1580.52560127819,8.14855741146997e-05,"D2_nodiscardlen"
"start09",1596.17311690851,9.61155423240695e-07,"D2_nodiscardlen"
"start01",1814.50460954605,5721.44740548062,"D2_nodiscardlen"
"start00",2071.5549093256,0.000332501243744065,"D2_nodiscardlen"
"start15",2708.34723687739,9.54868230135507e-06,"D2_nodiscardlen"
"start08",3390.83693207124,0.00011928863268805,"D2_nodiscardlen"
"start06",1513.81477790603,0.000169902568224672,"D3_recdev"
"start10",1515.20676817681,5.68838839429833e-05,"D3_recdev"
"start13",1515.20676817681,6.06075408907738e-05,"D3_recdev"
"start20",1515.20676817683,0.0008482276771861,"D3_recdev"
"start11",1515.20676817684,0.000209327300753018,"D3_recdev"
"start14",1515.20676817684,0.000834498238819547,"D3_recdev"
"start05",1532.20062781165,0.000297835090462543,"D3_recdev"
"start04",1532.20062781166,9.78642685335728e-05,"D3_recdev"
"start01",1532.20062781171,0.000878066468590975,"D3_recdev"
"start18",1533.61770854805,7.36784005898541e-05,"D3_recdev"
"start02",1533.61770854807,9.82320463377999e-05,"D3_recdev"
"start16",1533.61770854807,9.87459909302547e-05,"D3_recdev"
"start07",1548.41569056173,6.58706324530905e-05,"D3_recdev"
"start12",1657.35188986759,9.02702415295945e-05,"D3_recdev"
"start08",1657.37306189874,2.79121779615688e-05,"D3_recdev"
"start19",1667.92574664982,6.17281630754114e-05,"D3_recdev"
"start09",2145.78248838266,5.01767178349566e-05,"D3_recdev"
"start00",2147.14267273491,0.0032030340551716,"D3_recdev"
"start17",2148.98832664594,9.66769643871503e-05,"D3_recdev"
"start03",3465.28224796592,0.000116891312550581,"D3_recdev"
"start15",3466.06831581985,0.000131569827365821,"D3_recdev"
